trial_id,configuration,omitted_component,success,travel_time_s,deadlocks,discomfort_integral,shelf_contact_ticks,shelf_contact_events,min_shelf_clearance_m,inter_cart_crowding
1,Full D2RO Framework,None (Complete Equation),1,44.35,0,0.03,174,4,0.507,0
1,w/o V2V Mesh Telemetry,W_mesh = 0,1,29.8,0,0.03,106,4,0.507,0
1,w/o Corridor Mutex Lock,R_lock = 0,1,29.8,0,0.03,106,4,0.507,0
1,w/o Human Gaussian Proxemics,H_prox = 0,1,100.7,0,6.97,413,25,0.494,0
1,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.03,224,82,0.0,0
2,Full D2RO Framework,None (Complete Equation),1,35.45,0,0.01,57,1,0.51,0
2,w/o V2V Mesh Telemetry,W_mesh = 0,1,37.5,0,0.01,299,6,0.496,0
2,w/o Corridor Mutex Lock,R_lock = 0,1,37.5,0,0.01,299,6,0.496,0
2,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,14.91,465,73,0.382,0
2,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,42.8,0,0.0,279,95,0.0,0
3,Full D2RO Framework,None (Complete Equation),1,51.7,0,0.01,156,2,0.511,0
3,w/o V2V Mesh Telemetry,W_mesh = 0,1,31.2,0,0.01,94,3,0.515,0
3,w/o Corridor Mutex Lock,R_lock = 0,1,31.2,0,0.01,94,3,0.515,0
3,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,11.24,188,85,0.516,0
3,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,41.65,0,0.0,252,94,0.0,0
4,Full D2RO Framework,None (Complete Equation),1,120.7,0,0.04,819,49,0.487,0
4,w/o V2V Mesh Telemetry,W_mesh = 0,1,34.65,0,0.03,264,15,0.516,0
4,w/o Corridor Mutex Lock,R_lock = 0,1,34.65,0,0.03,264,15,0.516,0
4,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,10.69,185,112,0.516,0
4,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,39.2,0,0.01,353,91,0.0,0
5,Full D2RO Framework,None (Complete Equation),1,44.35,0,0.01,131,2,0.511,0
5,w/o V2V Mesh Telemetry,W_mesh = 0,1,28.85,0,0.0,63,3,0.515,0
5,w/o Corridor Mutex Lock,R_lock = 0,1,28.85,0,0.0,63,3,0.515,0
5,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,17.31,367,126,0.368,0
5,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.02,224,82,0.0,0
6,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.0,154,2,0.511,0
6,w/o V2V Mesh Telemetry,W_mesh = 0,1,28.3,0,0.01,80,3,0.517,0
6,w/o Corridor Mutex Lock,R_lock = 0,1,28.3,0,0.01,80,3,0.517,0
