trial_id,cell,social_routing,yielding,success,timeout,makespan_s,intimate_exposure_person_ticks,intimate_exposure_person_s,intimate_encounters,replans
1,A_frozen_noyield,0,0,1,0,19.2,129,6.45,5,8
2,A_frozen_noyield,0,0,1,0,19.2,124,6.2,5,8
3,A_frozen_noyield,0,0,1,0,19.2,122,6.1,5,8
4,A_frozen_noyield,0,0,1,0,19.2,129,6.45,5,8
5,A_frozen_noyield,0,0,1,0,19.2,124,6.2,5,8
6,A_frozen_noyield,0,0,1,0,19.2,137,6.85,5,8
7,A_frozen_noyield,0,0,1,0,19.2,120,6.0,5,8
8,A_frozen_noyield,0,0,1,0,19.2,133,6.65,5,8
9,A_frozen_noyield,0,0,1,0,19.2,128,6.4,5,8
10,A_frozen_noyield,0,0,1,0,19.2,132,6.6,5,8
11,A_frozen_noyield,0,0,1,0,19.2,125,6.25,5,8
12,A_frozen_noyield,0,0,1,0,19.2,128,6.4,5,8
13,A_frozen_noyield,0,0,1,0,19.2,121,6.05,5,8
14,A_frozen_noyield,0,0,1,0,19.2,137,6.85,5,8
15,A_frozen_noyield,0,0,1,0,19.2,129,6.45,5,8
16,A_frozen_noyield,0,0,1,0,19.2,133,6.65,5,8
17,A_frozen_noyield,0,0,1,0,19.2,124,6.2,5,8
18,A_frozen_noyield,0,0,1,0,19.2,131,6.55,5,8
19,A_frozen_noyield,0,0,1,0,19.2,132,6.6,5,8
20,A_frozen_noyield,0,0,1,0,19.2,141,7.05,5,8
21,A_frozen_noyield,0,0,1,0,19.2,129,6.45,5,8
22,A_frozen_noyield,0,0,1,0,19.2,129,6.45,5,8
23,A_frozen_noyield,0,0,1,0,19.2,141,7.05,5,8
24,A_frozen_noyield,0,0,1,0,19.2,121,6.05,5,8
25,A_frozen_noyield,0,0,1,0,19.2,136,6.8,5,8
26,A_frozen_noyield,0,0,1,0,19.2,134,6.7,5,8
27,A_frozen_noyield,0,0,1,0,19.2,129,6.45,5,8
28,A_frozen_noyield,0,0,1,0,19.2,136,6.8,5,8
29,A_frozen_noyield,0,0,1,0,19.2,135,6.75,5,8
30,A_frozen_noyield,0,0,1,0,19.2,127,6.35,5,8
31,A_frozen_noyield,0,0,1,0,19.2,125,6.25,5,8
32,A_frozen_noyield,0,0,1,0,19.2,120,6.0,5,8
33,A_frozen_noyield,0,0,1,0,19.2,124,6.2,5,8
34,A_frozen_noyield,0,0,1,0,19.2,131,6.55,5,8
35,A_frozen_noyield,0,0,1,0,19.2,131,6.55,5,8
36,A_frozen_noyield,0,0,1,0,19.2,122,6.1,5,8
37,A_frozen_noyield,0,0,1,0,19.2,132,6.6,5,8
38,A_frozen_noyield,0,0,1,0,19.2,121,6.05,5,8
39,A_frozen_noyield,0,0,1,0,19.2,133,6.65,5,8
40,A_frozen_noyield,0,0,1,0,19.2,126,6.3,5,8
41,A_frozen_noyield,0,0,1,0,19.2,127,6.35,5,8
42,A_frozen_noyield,0,0,1,0,19.2,123,6.15,5,8
