trial_id,crowd_density_humans,fixed_fleet_size,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
1,2,4,100.0,31.6,0.022,0.14,17
1,6,4,0.0,65.05,0.038,0.69,24
1,12,4,100.0,43.3,0.135,15.41,9
1,18,4,100.0,34.8,0.233,25.69,15
1,24,4,100.0,48.65,0.115,62.33,31
1,30,4,100.0,57.2,0.301,102.21,16
2,2,4,100.0,27.35,0.039,0.28,20
2,6,4,100.0,51.5,0.067,6.7,21
2,12,4,100.0,51.15,0.101,0.02,10
2,18,4,100.0,60.4,0.197,28.39,8
2,24,4,0.0,65.05,0.159,26.21,15
2,30,4,0.0,65.05,0.372,6.0,10
3,2,4,100.0,30.1,0.045,0.01,17
3,6,4,100.0,54.3,0.067,0.93,18
3,12,4,0.0,65.05,0.087,155.49,57
3,18,4,100.0,52.4,0.147,0.78,10
3,24,4,100.0,52.5,0.115,4.96,10
3,30,4,100.0,47.55,0.208,12.59,16
4,2,4,0.0,65.05,0.02,0.41,13
4,6,4,100.0,35.8,0.044,2.86,16
4,12,4,100.0,57.85,0.134,16.89,8
4,18,4,100.0,52.45,0.163,0.52,11
4,24,4,100.0,63.0,0.249,16.06,14
4,30,4,100.0,62.85,0.301,12.02,12
5,2,4,100.0,32.3,0.035,0.3,14
5,6,4,100.0,44.55,0.063,0.31,11
5,12,4,100.0,52.9,0.166,49.6,28
5,18,4,100.0,41.1,0.133,66.35,37
5,24,4,100.0,45.75,0.202,83.23,35
5,30,4,0.0,65.05,0.375,153.41,47
6,2,4,100.0,48.6,0.026,0.05,18
6,6,4,0.0,65.05,0.089,6.07,17
6,12,4,100.0,41.75,0.15,1.69,12
6,18,4,100.0,37.95,0.2,6.03,13
6,24,4,100.0,37.8,0.185,6.17,12
6,30,4,100.0,39.8,0.288,31.46,25
7,2,4,100.0,40.7,0.03,3.78,9
7,6,4,100.0,42.9,0.044,0.1,13
7,12,4,100.0,46.75,0.126,9.73,19
7,18,4,100.0,30.7,0.175,26.0,17
7,24,4,100.0,39.8,0.264,10.17,17
7,30,4,100.0,35.3,0.356,5.63,10
8,2,4,100.0,39.65,0.043,0.24,23
8,6,4,100.0,41.65,0.048,17.4,20
8,12,4,100.0,35.15,0.212,3.74,15
8,18,4,100.0,37.35,0.317,8.77,14
8,24,4,100.0,35.3,0.438,3.66,10
8,30,4,0.0,65.05,0.31,76.34,25
9,2,4,100.0,30.55,0.077,5.61,25
9,6,4,100.0,42.55,0.188,0.12,8
9,12,4,0.0,65.05,0.373,39.04,22
9,18,4,0.0,65.05,0.327,36.32,25
9,24,4,0.0,65.05,0.286,21.67,21
9,30,4,100.0,54.15,0.684,41.92,26
10,2,4,100.0,31.35,0.027,3.19,15
10,6,4,100.0,51.15,0.111,0.61,13
10,12,4,100.0,38.55,0.125,8.6,10
10,18,4,100.0,37.1,0.137,5.26,14
10,24,4,100.0,39.95,0.132,9.92,7
10,30,4,100.0,43.8,0.26,55.33,29
11,2,4,100.0,34.8,0.029,6.05,26
11,6,4,100.0,35.3,0.113,0.12,10
11,12,4,100.0,42.75,0.1,0.35,11
11,18,4,100.0,36.25,0.173,15.28,16
11,24,4,100.0,48.75,0.193,41.79,33
11,30,4,100.0,47.95,0.223,57.97,25
12,2,4,100.0,33.05,0.033,8.62,26
12,6,4,0.0,65.05,0.052,11.43,19
12,12,4,100.0,63.6,0.245,16.16,15
12,18,4,0.0,65.05,0.168,12.98,16
12,24,4,100.0,39.7,0.259,29.85,33
