trial_id,crowd_density_humans,fleet_size_agents,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
1,2,2,100.0,7.48,0.039,2.9,2
1,6,4,100.0,11.89,0.063,9.0,16
1,12,6,100.0,16.48,0.081,16.6,42
1,18,8,100.0,22.32,0.086,28.1,74
1,24,10,100.0,29.85,0.109,41.4,115
2,2,2,100.0,7.52,0.044,3.0,3
2,6,4,100.0,11.82,0.06,8.9,13
2,12,6,100.0,15.92,0.081,16.2,36
2,18,8,100.0,22.76,0.085,28.5,77
2,24,10,100.0,29.51,0.108,41.1,115
3,2,2,100.0,7.63,0.045,3.1,7
3,6,4,100.0,11.78,0.055,8.9,17
3,12,6,100.0,16.42,0.083,16.6,38
3,18,8,100.0,22.4,0.089,28.2,78
3,24,10,100.0,30.03,0.113,41.5,119
4,2,2,100.0,7.47,0.042,2.9,7
4,6,4,100.0,11.4,0.064,8.6,17
4,12,6,100.0,16.66,0.075,16.8,35
4,18,8,100.0,22.34,0.095,28.1,73
4,24,10,100.0,29.67,0.115,41.3,115
5,2,2,100.0,7.41,0.036,2.9,6
5,6,4,100.0,11.87,0.063,9.0,16
5,12,6,100.0,15.89,0.08,16.1,39
5,18,8,100.0,22.55,0.09,28.3,76
5,24,10,100.0,29.74,0.111,41.3,122
6,2,2,100.0,7.45,0.039,2.9,8
6,6,4,100.0,11.26,0.063,8.5,14
6,12,6,100.0,15.84,0.084,16.1,41
6,18,8,100.0,22.59,0.092,28.3,80
6,24,10,100.0,29.81,0.112,41.4,117
7,2,2,100.0,7.72,0.035,3.1,4
7,6,4,100.0,10.97,0.059,8.3,13
7,12,6,100.0,15.71,0.075,16.0,38
7,18,8,100.0,22.91,0.086,28.6,76
7,24,10,100.0,29.12,0.105,40.8,120
8,2,2,100.0,8.29,0.043,3.6,5
8,6,4,100.0,11.59,0.064,8.8,18
8,12,6,100.0,15.79,0.083,16.1,37
8,18,8,100.0,22.38,0.094,28.2,78
8,24,10,100.0,29.86,0.107,41.4,116
9,2,2,100.0,8.17,0.038,3.5,7
9,6,4,100.0,11.59,0.062,8.8,12
9,12,6,100.0,16.45,0.081,16.6,39
9,18,8,100.0,23.06,0.09,28.7,76
9,24,10,100.0,29.35,0.106,41.0,120
10,2,2,100.0,8.29,0.035,3.6,5
10,6,4,100.0,11.44,0.061,8.6,17
10,12,6,100.0,15.99,0.08,16.2,40
10,18,8,100.0,22.52,0.089,28.3,75
10,24,10,100.0,29.31,0.107,41.0,117
