trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
1,2,10,100.0,16.45,0.622,0.0,2
1,4,10,100.0,22.75,0.589,0.0,20
1,6,10,100.0,46.0,0.915,0.0,102
1,8,10,100.0,25.0,0.519,0.0,30
1,10,10,100.0,27.05,0.625,0.0,48
1,12,10,100.0,26.25,0.599,0.0,57
2,2,10,100.0,22.2,0.46,0.0,0
2,4,10,100.0,23.0,0.629,0.0,27
2,6,10,100.0,31.15,0.673,0.0,61
2,8,10,100.0,22.4,0.606,0.0,32
2,10,10,100.0,22.75,0.608,0.0,77
2,12,10,100.0,34.25,0.738,0.0,181
3,2,10,100.0,28.75,0.639,0.0,17
3,4,10,100.0,23.7,0.775,0.0,19
3,6,10,100.0,27.8,0.636,0.0,62
3,8,10,100.0,34.5,0.815,0.0,63
3,10,10,100.0,25.5,0.559,0.0,18
3,12,10,100.0,26.5,0.546,0.0,31
4,2,10,100.0,16.45,0.671,0.0,2
4,4,10,100.0,19.8,0.392,0.0,7
4,6,10,100.0,40.15,0.429,0.0,78
4,8,10,100.0,31.05,0.441,0.0,43
4,10,10,100.0,26.6,0.667,0.0,39
4,12,10,100.0,21.95,0.711,0.0,63
5,2,10,100.0,13.6,0.652,0.0,6
5,4,10,100.0,17.3,0.475,0.0,6
5,6,10,100.0,27.65,0.605,0.0,32
5,8,10,100.0,26.95,0.552,0.0,52
5,10,10,100.0,24.85,0.572,0.0,100
5,12,10,100.0,44.8,0.691,0.0,73
6,2,10,100.0,20.05,0.598,0.0,1
6,4,10,100.0,19.1,0.6,0.0,14
6,6,10,100.0,37.15,0.704,0.0,23
6,8,10,100.0,29.2,0.557,0.0,17
6,10,10,100.0,34.85,0.607,0.0,69
6,12,10,100.0,35.7,0.544,0.0,65
7,2,10,100.0,14.9,0.74,0.0,2
7,4,10,100.0,37.5,0.767,0.0,59
7,6,10,100.0,51.7,0.706,0.0,106
7,8,10,100.0,23.3,0.513,0.0,32
7,10,10,100.0,25.2,0.599,0.0,38
7,12,10,100.0,44.95,0.712,0.0,228
8,2,10,100.0,22.05,0.558,0.0,5
8,4,10,100.0,26.9,0.523,0.0,21
8,6,10,100.0,38.1,0.731,0.0,33
8,8,10,100.0,54.45,0.676,0.0,187
8,10,10,0.0,65.05,0.589,0.0,121
8,12,10,0.0,65.05,0.667,0.0,609
9,2,10,100.0,13.0,0.766,0.0,3
9,4,10,0.0,65.05,0.532,0.0,24
9,6,10,100.0,27.2,0.701,0.0,80
9,8,10,0.0,65.05,0.597,0.0,41
9,10,10,100.0,31.25,0.559,0.0,62
9,12,10,0.0,65.05,0.456,0.0,69
10,2,10,100.0,26.85,0.762,0.0,6
10,4,10,100.0,63.8,0.773,0.0,64
10,6,10,100.0,28.85,0.79,0.0,58
10,8,10,100.0,31.75,0.619,0.0,76
10,10,10,100.0,64.95,0.612,0.0,294
10,12,10,100.0,26.6,0.717,0.0,89
11,2,10,100.0,29.35,0.46,0.0,2
11,4,10,100.0,51.15,1.114,0.0,55
11,6,10,100.0,37.2,0.755,0.0,27
11,8,10,100.0,35.4,0.767,0.0,20
11,10,10,100.0,26.75,0.519,0.0,67
11,12,10,100.0,63.8,0.682,0.0,212
12,2,10,100.0,27.85,0.638,0.0,5
12,4,10,0.0,65.05,0.85,0.0,174
12,6,10,100.0,28.45,0.681,0.0,26
12,8,10,100.0,28.45,0.616,0.0,65
12,10,10,100.0,30.8,0.714,0.0,97
12,12,10,0.0,65.05,0.455,0.0,72
13,2,10,100.0,23.8,0.527,0.0,7
13,4,10,100.0,25.1,0.666,0.0,19
13,6,10,100.0,22.9,0.541,0.0,26
13,8,10,100.0,19.1,0.507,0.0,39
13,10,10,0.0,65.05,0.686,0.0,214
13,12,10,100.0,25.85,0.711,0.0,77
14,2,10,0.0,65.05,0.674,0.0,14
14,4,10,100.0,26.7,0.788,0.0,34
14,6,10,0.0,65.05,0.682,0.0,49
14,8,10,100.0,23.4,0.626,0.0,45
14,10,10,100.0,47.8,0.604,0.0,263
14,12,10,100.0,30.45,0.636,0.0,74
15,2,10,100.0,16.95,0.488,0.0,2
15,4,10,100.0,30.0,0.607,0.0,30
15,6,10,100.0,25.35,0.598,0.0,56
15,8,10,100.0,33.65,0.769,0.0,108
15,10,10,100.0,24.3,0.615,0.0,48
15,12,10,100.0,35.9,0.705,0.0,101
16,2,10,100.0,17.05,0.63,0.0,7
16,4,10,100.0,36.15,0.554,0.0,11
16,6,10,100.0,25.0,0.559,0.0,22
16,8,10,0.0,65.05,0.579,0.0,33
16,10,10,100.0,39.4,0.61,0.0,112
16,12,10,100.0,57.35,0.562,0.0,161
17,2,10,100.0,34.0,0.618,0.0,1
17,4,10,100.0,33.15,0.556,0.0,25
17,6,10,100.0,31.55,0.661,0.0,42
17,8,10,100.0,58.15,0.628,0.0,114
17,10,10,100.0,37.75,0.585,0.0,120
17,12,10,100.0,24.25,0.641,0.0,118
18,2,10,100.0,26.55,0.677,0.0,3
18,4,10,0.0,65.05,0.801,0.0,94
18,6,10,100.0,29.55,0.682,0.0,34
18,8,10,100.0,33.45,0.629,0.0,71
18,10,10,100.0,24.65,0.605,0.0,54
18,12,10,100.0,23.0,0.586,0.0,65
19,2,10,100.0,20.65,0.588,0.0,2
19,4,10,100.0,27.4,0.64,0.0,27
19,6,10,0.0,65.05,0.795,0.0,191
19,8,10,100.0,36.3,0.699,0.0,52
19,10,10,0.0,65.05,0.559,0.0,259
19,12,10,0.0,65.05,0.566,0.0,273
20,2,10,100.0,19.4,0.756,0.0,2
20,4,10,100.0,18.55,0.611,0.0,32
20,6,10,100.0,31.0,0.753,0.0,62
20,8,10,100.0,19.7,0.603,0.0,45
20,10,10,100.0,40.4,0.787,0.0,67
20,12,10,100.0,41.0,0.711,0.0,217
21,2,10,100.0,21.15,0.532,0.0,5
21,4,10,100.0,46.65,0.819,0.0,86
21,6,10,100.0,24.1,0.594,0.0,35
21,8,10,100.0,34.85,0.738,0.0,83
21,10,10,100.0,29.4,0.586,0.0,206
21,12,10,100.0,40.4,0.628,0.0,130
22,2,10,100.0,38.55,0.673,0.0,1
22,4,10,100.0,27.2,0.683,0.0,10
22,6,10,100.0,28.0,0.723,0.0,29
22,8,10,100.0,28.85,0.643,0.0,52
22,10,10,100.0,23.0,0.46,0.0,99
22,12,10,100.0,37.25,0.563,0.0,68
23,2,10,100.0,22.4,0.514,0.0,2
23,4,10,100.0,24.25,0.769,0.0,30
23,6,10,0.0,65.05,0.683,0.0,44
23,8,10,100.0,24.85,0.563,0.0,53
23,10,10,100.0,20.95,0.66,0.0,113
23,12,10,100.0,33.2,0.608,0.0,181
24,2,10,100.0,37.75,0.934,0.0,7
24,4,10,100.0,23.05,0.775,0.0,31
24,6,10,100.0,27.55,0.611,0.0,47
